year,branch,title,intro,summary,opt1_title,opt1_desc,opt1_tag,opt2_title,opt2_desc,opt2_tag,opt3_title,opt3_desc,opt3_tag,opt4_title,opt4_desc,opt4_tag
2026,COMMON,血の継承,"偉大なる指導者である父が急逝し、私が若くして総書記に就任した。\\n\\nしかし、軍の実権を握る「叔父」が、私の経験不足をあざ笑い、裏で中国とのパイプを作っているという報告が入った。\\n\\n彼は会議中に居眠りをし、拍手も適当だ。これは明らかな反逆の兆候である。",権力の座は、血で洗わねば清められない。,高射砲で処刑,「裏切り者をミンチにしろ」と命令する。見せしめとして幹部全員に見学させる。,purge,強制隠居,「病気療養」という名目で地方の別荘に幽閉し、叔父の政治生命だけを絶つ。,reform,事故死を演出,車のブレーキに細工をし、不幸な交通事故として処理する。,corruption,媚びを売る,叔父を首相に任命し、機嫌を取って操り人形として生きる。,delusion
2027,COMMON,偉大なる銅像,"就任から1年。私の権威を国内に示す必要がある。\\n\\n側近が「将軍様の偉大さを称える、高さ50メートルの黄金の銅像」を首都の一等地に建てる計画を持ってきた。\\n\\nしかし、国庫には外貨がほとんどない。建設資材を買えば、来年の食料輸入は止まるだろう。",国民はパンよりも、私の笑顔を求めているはずだ。,銅像建設を強行,食料輸入予算を全額カットして銅像を建てる。「精神的な満腹感」を与える。,delusion,建設中止して配給,「銅像よりも人民の生活だ」と中止し、資金を食料に回す。,reform,海外へ資金洗浄,建設予算を横領し、スイスの秘密口座へ送金する。銅像はハリボテで作らせる。,corruption,設計者を処刑,「私の偉大さを50メートルごときで表現しようとは不敬だ」と難癖をつけて粛清し、有耶無耶にする。,purge
2028,COMMON,愛の農業革命,"化学肥料の輸入が止まり、今年の農業生産が絶望的だと農相が泣きついてきた。\\n\\n「肥料がないなら、私の『愛』で育てればいいではないか」。\\n\\n畑に巨大スピーカーを設置し、私の演説を24時間聞かせれば、植物も感動して急成長するはずだ。",科学を超越した、精神力による豊作を目指す。,担当者を肥料に,「作物が育たないのは、担当者の忠誠心が足りないからだ」と断定し、農相を処刑して畑に埋める。,purge,全農地に設置,「私の声を聞けば枯れ木も花を咲かす」と豪語し、貴重な金属を全てスピーカー製造に回す。,delusion,支援物資の横流し,「国民が餓死しそうです」と国連に泣きつき、届いた肥料を全て裏ルートで転売して現金化する。,corruption,農業改革の実施,集団農場を解体し、家族単位の耕作を認める。,reform
2029,COMMON,将軍様の縮地法,"国営放送が私の伝説を作り上げようとしている。\\n\\n「将軍様は『縮地法（テレポート）』を使って、一瞬で前線を移動し、敵を撹乱した」という歌を作曲しました！\\n\\nこれを公式事実として教科書に載せるかどうかの判断を求められている。",物理法則さえも、英雄の前では無力化される。,事実として認定,「私は実際に飛べる」と公言し、小学校の理科の教科書を書き換えさせる。,delusion,作曲者を処刑,「嘘をつくな。テレポートなどという非科学的な噂は、私の神聖さを汚す」と粛清。,purge,歌唱印税の徴収,歌自体は面白いので流行らせ、カラオケで歌われるたびに私に著作権料が入るようにする。,corruption,科学技術への投資,「そんなオカルトよりも、本物の高速鉄道を作れ」と却下する。,reform
2030,COMMON,デノミの衝撃,"インフレが止まらない。闇市場ではウォンが紙くず扱いされている。\\n\\n経済相の進言。「新紙幣を発行し、旧紙幣との交換レートを100対1にしましょう。そして交換額に上限を設ければ、闇市場で儲けた商人の資産を没収できます」\\n\\n国民のタンス預金が消滅する劇薬だ。",国民の財産をゴミに変える魔法。それが通貨改革。,デノミを断行,予告なしに新紙幣を発表し、交換上限を設けて庶民の財産を紙切れにする。,purge,外貨使用の解禁,自国通貨を諦め、ドルと元の使用を公認する。,reform,偽札の製造,いっそ精巧なスーパーノート（偽米ドル）を大量印刷して、インフレを解決する。,corruption,精神論で解決,「お札の価値など幻想だ。私への愛があれば生きていける」と演説し、何もしない。,delusion
2031,COMMON,南からの風,"USBメモリによって、南側のドラマやK-POPが若者の間で流行している。「愛の不時着」などというふざけたドラマも見つかった。\\n\\n彼らは私の髪型よりも、南のアイドルの髪型を真似し始めている。これは体制崩壊の序曲だ。",韓流ドラマは、核兵器よりも恐ろしい毒である。,反動思想文化排撃法,南の映像を見た者は死刑、見逃した家族も収容所送りとする徹底的な恐怖政治。,purge,対抗アイドル結成,「牡丹峰（モランボン）楽団」を結成し、私を称えるディスコソングを強制的に流行らせる。,delusion,海賊版の販売,没収したUSBを裏ルートで高値で売りさばき、秘密資金の足しにする。,corruption,文化開放,「良い文化は取り入れるべきだ」と黙認する。,reform
2032,COMMON,謎の熱病,"原因不明の発熱性疾患が爆発的に広まっている。国際社会は「パンデミック」と呼んでいるが、我が国に病人は一人もいないはずだ。\\n\\n国境を封鎖したため、餓死者が急増しているが、病死と認めるわけにはいかない。",我が国にあるのは、病気ではなく「愛国心による発熱」だけだ。,ゼロコロナ勝利宣言,「我が国の感染者はゼロだ」と言い張り、発熱した者を人知れず山奥で処理する。,purge,塩水うがい命令,「塩水でうがいをすれば治る」という民間療法を国営放送で大々的に推奨する。,delusion,ワクチン横流し,COVAXから支援されたワクチンを、接種せずに全て海外へ転売する。,corruption,WHOの査察受入,事実を公表し、医療支援を受け入れる。,reform
2033,COMMON,サイバー部隊,"外貨が枯渇した。制裁により石炭も海産物も輸出できない。\\n\\n偵察総局のハッカー部隊「ラザルス」が提案。「将軍様、各国の仮想通貨取引所をハッキングしましょう。元手タダで数億ドル稼げます」\\n\\nこれは国家ぐるみの銀行強盗だ。",泥棒こそが、最も効率的な外交手段である。,大規模ハッキング承認,世界中の銀行と仮想通貨取引所を攻撃し、盗んだ金でミサイルを作る。,purge,ランサムウェア攻撃,他国の病院のシステムを人質に取り、身代金をビットコインで要求する。,corruption,自国のネット遮断,ハッキング報復を恐れ、国内のイントラネット回線を物理的に切断して引きこもる。,delusion,IT技術者の育成,ハッキングではなく、正規のソフトウェア開発で外貨を稼ぐよう指示する。,reform
2034,COMMON,首脳会談の賭け,"アメリカ大統領から「会いたい」という親書が届いた。\\n\\n非核化をチラつかせれば制裁解除の可能性があるが、核を捨てればリビアのカダフィ大佐のように殺されるかもしれない。\\n\\n世界中が注目する世紀のショーが始まる。",握手をする右手。核ボタンを握る左手。,嘘の非核化宣言,「核廃棄」を約束して制裁解除と経済支援を引き出し、裏で濃縮ウランを増産する。,corruption,会談のドタキャン,直前ですっぽかして大統領に恥をかかせ、国内向けに「アメリカを屈服させた」と宣伝。,delusion,大陸間弾道弾発射,会談の最中にICBMを発射し、交渉ではなく脅しで譲歩を迫る。,purge,核施設の爆破ショー,老朽化した不要な坑道を派手に爆破し、誠意を見せるふりをする。,reform
2035,COMMON,最後のパレード,"建国記念日。過去最大規模の軍事パレードが計画されている。\\n\\nしかし、広場に集まった群衆の目がどこかおかしい。熱狂しているように見えるが、その手には石や火炎瓶が隠されているという情報もある。\\n\\n私の10年の統治の答え合わせだ。",熱狂的な歓声か、怒号の嵐か。バルコニーに立つ時が来た。,核ミサイルと行進,最新のICBMと共にパレードし、武力で国民と世界を威圧して黙らせる。,purge,影武者を派遣,暗殺を恐れ、自分によく似た太った農夫をバルコニーに立たせる。,corruption,空へ脱出,パレードは囮だ。混乱に乗じて裏から空港へ向かい、亡命の準備をする。,delusion,演説を行う,防弾ガラスなしでバルコニーに立ち、国民に直接語りかける。,reform
